bank.account,duration.in.month,credit.history,purpose,credit.amount,savings,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreigner,creditability
yes,12,critical account/ other credits existing (other lender),car (used),1860,... < 1000,unemployed,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,12,critical account/ other credits existing (other lender),car (new),3499,... < 1000,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,co-applicant,1 <= ... < 4 years,real estate,29,none,own,2,skilled employee / official,1,none,yes,bad
yes,48,existing credits paid back duly till now,car (new),8487,unknown/no savings,4 <= ... < 7 years,>= 35,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,24,none,own,1,skilled employee / official,1,none,yes,good
yes,36,delay in paying off in the past,education,6887,... < 1000,1 <= ... < 4 years,< 20,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,registered under the customers name,yes,bad
no,15,existing credits paid back duly till now,furniture/equipment,2708,... < 1000,... < 1 year,25 <= ... < 35,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,27,bank,own,2,unskilled - resident,1,none,yes,good
no,18,existing credits paid back duly till now,furniture/equipment,1984,... < 1000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,unknown / no property,47,bank,for free,2,skilled employee / official,1,none,yes,good
no,60,existing credits paid back duly till now,radio/television,10144,1000 <= ... < 5000,4 <= ... < 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,real estate,21,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,12,critical account/ other credits existing (other lender),radio/television,1240,unknown/no savings,... >= 7 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,38,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,27,delay in paying off in the past,car (used),8613,... >= 10000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,27,none,own,2,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,radio/television,766,5000 <= ... < 10000,1 <= ... < 4 years,< 20,male : single,none,4 <= ... < 7 years,real estate,66,none,own,1,unskilled - resident,1,none,yes,bad
yes,15,critical account/ other credits existing (other lender),radio/television,2728,unknown/no savings,4 <= ... < 7 years,< 20,male : single,guarantor,1 <= ... < 4 years,real estate,35,bank,own,3,skilled employee / official,1,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,radio/television,1881,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,44,none,rent,1,unskilled - resident,1,registered under the customers name,yes,good
yes,6,existing credits paid back duly till now,car (new),709,... >= 10000,... < 1 year,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 years,real estate,27,none,own,1,unemployed/ unskilled - non-resident,1,none,no,good
yes,36,existing credits paid back duly till now,radio/television,4795,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,< 1 year,unknown / no property,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,27,existing credits paid back duly till now,radio/television,3416,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,car or other-not included in savings,27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,good
yes,18,existing credits paid back duly till now,furniture/equipment,2462,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,22,none,own,1,skilled employee / official,1,none,yes,bad
no,21,critical account/ other credits existing (other lender),furniture/equipment,2288,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,48,all credits at this bank paid back duly,business,3566,1000 <= ... < 5000,4 <= ... < 7 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,30,none,own,1,skilled employee / official,1,none,yes,good
yes,6,critical account/ other credits existing (other lender),car (new),860,... < 1000,... >= 7 years,>= 35,female : divorced/separated/married,none,>= 7 years,unknown / no property,39,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,12,critical account/ other credits existing (other lender),car (new),682,1000 <= ... < 5000,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,car or other-not included in savings,51,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
yes,36,critical account/ other credits existing (other lender),furniture/equipment,5371,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,guarantor,1 <= ... < 4 years,building society savings agreement/ life insurance,28,none,own,2,skilled employee / official,1,none,yes,good
no,18,critical account/ other credits existing (other lender),radio/television,1582,... >= 10000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,46,none,own,2,skilled employee / official,1,none,yes,good
no,6,existing credits paid back duly till now,radio/television,1346,1000 <= ... < 5000,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,unknown / no property,42,bank,for free,1,skilled employee / official,2,registered under the customers name,yes,good
no,10,existing credits paid back duly till now,radio/television,1924,... < 1000,1 <= ... < 4 years,>= 35,male : single,none,>= 7 years,building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,registered under the customers name,no,good
yes,36,existing credits paid back duly till now,radio/television,5848,... < 1000,1 <= ... < 4 years,< 20,male : single,none,< 1 year,car or other-not included in savings,24,none,own,1,skilled employee / official,1,none,yes,good
yes,24,critical account/ other credits existing (other lender),car (used),7758,... >= 10000,... >= 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,unknown / no property,29,none,rent,1,skilled employee / official,1,none,yes,good
yes,24,delay in paying off in the past,business,6967,1000 <= ... < 5000,4 <= ... < 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,36,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,furniture/equipment,1282,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,20,none,rent,1,skilled employee / official,1,none,yes,bad
yes,9,critical account/ other credits existing (other lender),repairs,1288,1000 <= ... < 5000,... >= 7 years,20 <= ... < 25,male : single,guarantor,>= 7 years,real estate,48,none,own,2,skilled employee / official,2,none,no,good
yes,12,all credits at this bank paid back duly,retraining,339,... < 1000,... >= 7 years,< 20,male : married/widowed,none,< 1 year,car or other-not included in savings,45,bank,own,1,unskilled - resident,1,none,yes,good
yes,24,existing credits paid back duly till now,car (new),3512,1000 <= ... < 5000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,4 <= ... < 7 years,car or other-not included in savings,38,bank,own,2,skilled employee / official,1,registered under the customers name,yes,good
no,6,critical account/ other credits existing (other lender),radio/television,1898,unknown/no savings,1 <= ... < 4 years,>= 35,male : single,none,1 <= ... < 4 years,real estate,34,none,own,2,unskilled - resident,2,none,yes,good
no,24,critical account/ other credits existing (other lender),radio/television,2872,1000 <= ... < 5000,... >= 7 years,20 <= ... < 25,male : single,none,>= 7 years,real estate,36,none,own,1,skilled employee / official,2,registered under the customers name,yes,good
no,18,critical account/ other credits existing (other lender),car (new),1055,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,< 1 year,building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,yes,good
no,15,existing credits paid back duly till now,domestic appliances,1262,5000 <= ... < 10000,4 <= ... < 7 years,< 20,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
yes,10,existing credits paid back duly till now,car (new),7308,... < 1000,unemployed,25 <= ... < 35,male : single,none,>= 7 years,unknown / no property,70,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,36,existing credits paid back duly till now,car (new),909,5000 <= ... < 10000,... >= 7 years,< 20,male : single,none,>= 7 years,building society savings agreement/ life insurance,36,none,own,1,skilled employee / official,1,none,yes,good
no,6,existing credits paid back duly till now,furniture/equipment,2978,5000 <= ... < 10000,1 <= ... < 4 years,>= 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,32,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,18,existing credits paid back duly till now,furniture/equipment,1131,... < 1000,unemployed,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,33,none,own,1,skilled employee / official,1,none,yes,bad
yes,11,existing credits paid back duly till now,furniture/equipment,1577,... >= 10000,... < 1 year,< 20,female : divorced/separated/married,none,< 1 year,real estate,20,none,own,1,skilled employee / official,1,none,yes,good
no,24,existing credits paid back duly till now,furniture/equipment,3972,... < 1000,4 <= ... < 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,registered under the customers name,yes,good
yes,24,critical account/ other credits existing (other lender),business,1935,... < 1000,... >= 7 years,< 20,female : divorced/separated/married,none,>= 7 years,real estate,31,none,own,2,skilled employee / official,1,registered under the customers name,yes,bad
yes,15,no credits taken/ all credits paid back duly,car (new),950,... < 1000,... >= 7 years,< 20,male : single,none,4 <= ... < 7 years,car or other-not included in savings,33,none,rent,2,skilled employee / official,2,none,yes,bad
no,12,existing credits paid back duly till now,furniture/equipment,763,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,< 1 year,real estate,26,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
